exchange,symbol,fundingTime,fundingRate,fundingRatePct,demo,normalized
binance,BTCUSDT,1579593600000,0.00015425,0.015425000000000001,True,True
binance,ETHUSDT,1579593600000,0.00016823,0.016823,True,True
binance,BTCUSDT,1579622400000,0.00015740,0.01574,True,True
binance,ETHUSDT,1579622400000,0.00018627,0.018626999999999998,True,True
binance,BTCUSDT,1579651200000,0.00010000,0.01,True,True
binance,ETHUSDT,1579651200000,0.00015350,0.015349999999999999,True,True
binance,BTCUSDT,1579680000001,0.00021392,0.021392,True,True
binance,ETHUSDT,1579680000001,0.00010000,0.01,True,True
binance,BTCUSDT,1579708800000,0.00010000,0.01,True,True
binance,ETHUSDT,1579708800000,0.00010000,0.01,True,True
binance,BTCUSDT,1579737600000,0.00010000,0.01,True,True
binance,ETHUSDT,1579737600000,0.00010000,0.01,True,True
binance,BTCUSDT,1579766400000,0.00010000,0.01,True,True
binance,ETHUSDT,1579766400000,0.00010000,0.01,True,True
binance,BTCUSDT,1579795200000,0.00052304,0.052304,True,True
binance,ETHUSDT,1579795200000,0.00021994,0.021994,True,True
binance,BTCUSDT,1579824000000,0.00054719,0.054719000000000004,True,True
binance,ETHUSDT,1579824000000,0.00017114,0.017114,True,True
binance,BTCUSDT,1579852800000,0.00042124,0.042124,True,True
binance,ETHUSDT,1579852800000,0.00017748,0.017748,True,True
binance,BTCUSDT,1579881600001,0.00017948,0.017948000000000002,True,True
binance,ETHUSDT,1579881600001,0.00025923,0.025922999999999998,True,True
binance,BTCUSDT,1579910400000,0.00010000,0.01,True,True
binance,ETHUSDT,1579910400000,0.00010000,0.01,True,True
binance,BTCUSDT,1579939200000,0.00010000,0.01,True,True
binance,ETHUSDT,1579939200000,0.00010000,0.01,True,True
binance,BTCUSDT,1579968000001,0.00010000,0.01,True,True
binance,ETHUSDT,1579968000001,0.00027793,0.027793,True,True
binance,BTCUSDT,1579996800000,0.00010000,0.01,True,True
binance,ETHUSDT,1579996800000,0.00031959,0.031959,True,True
binance,BTCUSDT,1580025600000,0.00010000,0.01,True,True
binance,ETHUSDT,1580025600000,0.00026387,0.026386999999999997,True,True
binance,BTCUSDT,1580054400000,0.00010000,0.01,True,True
binance,ETHUSDT,1580054400000,0.00010000,0.01,True,True
binance,BTCUSDT,1580083200000,0.00010000,0.01,True,True
binance,ETHUSDT,1580083200000,0.00010000,0.01,True,True
binance,BTCUSDT,1580112000001,0.00010000,0.01,True,True
binance,ETHUSDT,1580112000001,0.00010000,0.01,True,True
binance,BTCUSDT,1580140800000,0.00010000,0.01,True,True
binance,ETHUSDT,1580140800000,0.00010000,0.01,True,True
binance,BTCUSDT,1580169600000,0.00010000,0.01,True,True
binance,ETHUSDT,1580169600000,0.00010167,0.010166999999999999,True,True
binance,BTCUSDT,1580198400000,0.00068689,0.068689,True,True
binance,ETHUSDT,1580198400000,0.00049212,0.049212,True,True
binance,BTCUSDT,1580227200000,0.00054394,0.054394000000000005,True,True
binance,ETHUSDT,1580227200000,0.00091788,0.09178800000000001,True,True
binance,BTCUSDT,1580256000001,0.00062324,0.062324,True,True
